trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,16,7.894085103301411,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23521662924041012}",25,12,2.716900033415612,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.232864462948006}",25,0,-70.7833503034449,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,11,-4.337138293459135,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,12,12.98402206141301,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,16,8.350030966454007,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,14,11.25015216554663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,0,29.452658046834685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.2192372693664723}",30,23,6.7898474350310085,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21704489667280757}",20,13,-28.528996844562318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,12,-14.960795041602035,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2127257032290187}",30,14,26.590514402795815,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,12,-11.711090867433436,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20849246173476124}",30,13,-25.655489840701744,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,8,9.555481977431231,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2043434617462395}",30,18,13.21193192280846,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,13,-4.1066866831049245,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.2002770268574893}",20,6,4.0620174094430865,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19827425658891443}",35,24,19.95472232312811,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,11,14.194513944605301,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,10,16.378033121410745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19238531289396707}",25,7,32.15361867078501,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,0,-9.344275420737223,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,9,11.611235670718,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,5,-1.6268511038402722,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.1848045639485463}",30,18,24.390508639013216,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,15,20.231437402195073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,0,18.902088531484864,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,6,23.319329361861353,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17752252675876343}",25,15,19.340255200435774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1757473014911758}",35,25,16.26435621984885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.173989828476264}",25,14,19.10564324885584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
